number of buses,real-time timestep,1-thread,2-threads,4-threads,6-threads,8-threads,10-threads,12-threads
9,1.00E-04,8.00E-06,9.00E-06,9.00E-06,9.00E-06,9.00E-06,1.20E-05,1.30E-05
18,1.00E-04,1.70E-05,1.10E-05,1.10E-05,1.20E-05,1.30E-05,1.80E-05,1.90E-05
27,1.00E-04,2.60E-05,2.10E-05,1.30E-05,1.30E-05,1.30E-05,2.00E-05,2.20E-05
36,1.00E-04,3.50E-05,2.20E-05,1.40E-05,1.40E-05,1.40E-05,2.10E-05,2.30E-05
45,1.00E-04,4.40E-05,3.10E-05,2.10E-05,1.40E-05,1.40E-05,2.30E-05,2.30E-05
54,1.00E-04,5.30E-05,3.10E-05,2.30E-05,1.50E-05,1.50E-05,2.30E-05,2.40E-05
63,1.00E-04,6.20E-05,4.00E-05,2.30E-05,2.20E-05,1.60E-05,2.50E-05,2.50E-05
72,1.00E-04,7.40E-05,4.10E-05,2.70E-05,2.30E-05,1.90E-05,2.50E-05,2.60E-05
81,1.00E-04,8.60E-05,4.90E-05,3.20E-05,2.30E-05,2.20E-05,2.60E-05,2.60E-05
90,1.00E-04,1.00E-04,5.20E-05,3.30E-05,2.40E-05,2.20E-05,2.70E-05,2.80E-05
99,1.00E-04,1.15E-04,5.80E-05,3.50E-05,2.50E-05,2.40E-05,3.00E-05,2.80E-05
108,1.00E-04,1.32E-04,6.20E-05,3.70E-05,2.80E-05,2.50E-05,3.10E-05,2.80E-05
117,1.00E-04,1.50E-04,6.90E-05,4.20E-05,3.20E-05,2.50E-05,3.50E-05,3.30E-05
126,1.00E-04,1.68E-04,7.30E-05,4.30E-05,3.30E-05,2.60E-05,3.60E-05,3.40E-05
135,1.00E-04,1.86E-04,8.30E-05,4.50E-05,3.40E-05,2.80E-05,3.50E-05,3.30E-05
144,1.00E-04,2.06E-04,8.50E-05,4.60E-05,3.50E-05,2.90E-05,3.70E-05,3.50E-05
153,1.00E-04,2.24E-04,9.60E-05,5.10E-05,3.80E-05,3.30E-05,4.20E-05,3.80E-05
162,1.00E-04,2.42E-04,1.00E-04,5.50E-05,3.80E-05,3.40E-05,4.20E-05,4.00E-05
171,1.00E-04,2.60E-04,1.12E-04,5.70E-05,4.30E-05,3.50E-05,4.30E-05,4.20E-05
180,1.00E-04,2.79E-04,1.20E-04,5.70E-05,4.40E-05,3.50E-05,4.30E-05,4.40E-05
